;LINHA;Poste_qtd;qtd_trafo;Ramal_servico_qtd;Ramal_servico_km;REDE_MT_KM
0;LDA ABAETE;292;29.0;1226.0;19585.0;4801.0
1;LDA ABATOS;261;50.0;208.0;2854.0;17277.0
2;LDA ABELARDO;131;23.0;48.0;571.0;4194.0
3;LDA ACHE;0;45.0;641.0;8214.0;5965.0
4;LDA ADUTORA;1008;114.0;806.0;10923.0;59927.0
5;LDA AEROCLUBE IV;0;41.0;1371.0;22164.0;5077.0
6;LDA AGUIA;665;70.0;3752.0;53227.0;9594.0
7;LDA ALLENDE;42;0.0;0.0;0.0;1179.0
8;LDA ALMEIDA;560;49.0;3078.0;47651.0;5942.0
9;LDA ALMIDARE;438;63.0;1453.0;19570.0;6873.0
10;LDA ALVARENGA;706;67.0;4479.0;59028.0;8428.0
11;LDA ALVIM;320;60.0;1107.0;13745.0;3877.0
12;LDA ALZIBRAM;398;78.0;598.0;7779.0;4335.0
13;LDA ALZIRA;504;37.0;1927.0;29349.0;7412.0
14;LDA AMARAL;143;14.0;329.0;4048.0;1883.0
15;LDA AMARELA;247;0.0;0.0;0.0;5829.0
16;LDA AMERICAS;286;36.0;282.0;5186.0;5768.0
17;LDA ANGICO;890;107.0;4437.0;119347.0;18483.0
18;LDA ARARIPE;109;14.0;52.0;651.0;1556.0
19;LDA ARCADIA IV;0;37.0;349.0;4499.0;10548.0
20;LDA ARENA;526;34.0;824.0;13597.0;12431.0
21;LDA ARQUIMIN;180;19.0;106.0;1966.0;4992.0
22;LDA ARTISTAS;155;23.0;403.0;6583.0;1856.0
23;LDA ATENAS;539;42.0;3763.0;60433.0;7824.0
24;LDA ATERLEME;1277;117.0;5291.0;65572.0;21145.0
25;LDA ATHAIDE;64;8.0;215.0;2759.0;1227.0
26;LDA AUTODROMO;75;5.0;25.0;375.0;1967.0
27;LDA AYRTON;110;3.0;29.0;732.0;2589.0
28;LDA BABILONIA;149;24.0;190.0;3065.0;1777.0
29;LDA BALSA;486;35.0;2068.0;33014.0;6631.0
30;LDA BANDER;81;0.0;0.0;0.0;2725.0
31;LDA BANDUARTE;846;68.0;3023.0;41631.0;18624.0
32;LDA BARONI;666;122.0;2567.0;37888.0;10490.0
33;LDA BAURU;184;39.0;347.0;4535.0;1768.0
34;LDA BEIJAFLOR;555;60.0;3566.0;47931.0;7630.0
35;LDA BEIRUTE;901;86.0;4741.0;62245.0;10362.0
36;LDA BELAVI;1839;167.0;3571.0;53222.0;48785.0
37;LDA BELEM;544;44.0;2728.0;39964.0;9602.0
38;LDA BEMARAL;153;26.0;240.0;3151.0;1698.0
39;LDA BENEDONI;236;23.0;179.0;2386.0;2267.0
40;LDA BENVINDO;337;70.0;785.0;12975.0;7292.0
41;LDA BERLIM;737;96.0;6049.0;144837.0;13876.0
42;LDA BRIGADEIRO;458;86.0;2339.0;33237.0;7393.0
43;LDA BROMELIA;1210;84.0;4940.0;79218.0;19099.0
44;LDA BULHOES;499;35.0;2605.0;37684.0;6804.0
45;LDA CABOFRIO;306;69.0;444.0;4973.0;3585.0
46;LDA CACHOEIRA;693;34.0;1801.0;28332.0;16705.0
47;LDA CAETANO;618;59.0;4153.0;61589.0;8093.0
48;LDA CAFUNDA;337;51.0;1338.0;19548.0;6321.0
49;LDA CAJAIBA;634;61.0;3506.0;51334.0;9617.0
50;LDA CALDAS;589;61.0;2369.0;31793.0;6532.0
51;LDA CAMELIA;389;52.0;903.0;13459.0;7313.0
52;LDA CAMERON;545;43.0;2171.0;32957.0;8628.0
53;LDA CAMPAR;965;81.0;4786.0;71384.0;15204.0
54;LDA CAMPISTA;242;38.0;446.0;5912.0;2976.0
55;LDA CAMPOSO;619;58.0;1758.0;27816.0;8842.0
56;LDA CANABARRO;254;28.0;340.0;3992.0;2868.0
57;LDA CANOA;551;34.0;540.0;8140.0;9777.0
58;LDA CANTAGALO;34;0.0;0.0;0.0;1007.0
59;LDA CAPOEIRAO;466;31.0;878.0;12005.0;9980.0
60;LDA CAPOTE;349;59.0;597.0;8573.0;3834.0
61;LDA CARAVANA;783;58.0;3389.0;45874.0;13014.0
62;LDA CAREFIN;1168;67.0;1025.0;11913.0;18246.0
63;LDA CARIBU;573;78.0;1810.0;26833.0;7230.0
64;LDA CARMONETO;363;60.0;1194.0;18712.0;3977.0
65;LDA CARMOURA;113;19.0;156.0;1902.0;1445.0
66;LDA CARSAN;308;33.0;1601.0;25588.0;5205.0
67;LDA CARUBE;166;22.0;642.0;9297.0;1929.0
68;LDA CASTOARES;140;0.0;0.0;0.0;3734.0
69;LDA CASTORINA;454;56.0;1048.0;12502.0;5850.0
70;LDA CASUARINA;65;4.0;40.0;864.0;1759.0
71;LDA CEARA;150;31.0;372.0;5311.0;2355.0
72;LDA CEDRO;731;46.0;713.0;9589.0;17988.0
73;LDA CELESTINO;433;73.0;667.0;10770.0;7731.0
74;LDA CENTAUREA;0;58.0;3002.0;48402.0;9660.0
75;LDA CEPEL;416;54.0;337.0;4662.0;21703.0
76;LDA CHUI;283;24.0;1056.0;16527.0;5395.0
77;LDA CLEMENTE;257;36.0;696.0;11579.0;3374.0
78;LDA COBE;261;26.0;464.0;6405.0;5645.0
79;LDA CONDEFIM;174;30.0;179.0;2231.0;2848.0
80;LDA CONDELE;154;39.0;376.0;5340.0;2357.0
81;LDA CORMELO;467;78.0;2681.0;59687.0;6933.0
82;LDA CRISTOVAO;139;19.0;200.0;1677.0;1950.0
83;LDA CRUZALIA;155;4.0;18.0;254.0;4201.0
84;LDA CUPERTIBA;592;53.0;4304.0;530543.0;8508.0
85;LDA CXSSHOPPING;92;0.0;0.0;0.0;2446.0
86;LDA CYRELA;103;5.0;82.0;2752.0;3877.0
87;LDA DAFABRICA;98;0.0;0.0;0.0;3019.0
88;LDA DAFEIRA;876;65.0;3490.0;49545.0;14016.0
89;LDA DAPRATA;69;0.0;0.0;0.0;2342.0
90;LDA DENGO;634;86.0;1611.0;25965.0;14199.0
91;LDA DISTRITAL;102;7.0;17.0;171.0;2655.0
92;LDA DOMATO;768;54.0;1973.0;27598.0;14385.0
93;LDA DOMINIQUE;683;50.0;2126.0;24914.0;14775.0
94;LDA DOURADA;419;54.0;1089.0;16598.0;8651.0
95;LDA DOVALE;364;36.0;1471.0;20280.0;5289.0
96;LDA DYRCE;903;87.0;5716.0;87299.0;12838.0
97;LDA EBANO;147;8.0;114.0;1358.0;2426.0
98;LDA ELIMATO;1119;116.0;3937.0;54889.0;21600.0
99;LDA EPITACIO;204;30.0;138.0;1443.0;3222.0
100;LDA ESPECIALISTA;638;49.0;3192.0;369742.0;8633.0
101;LDA ESPLANADA;259;43.0;989.0;14886.0;4841.0
102;LDA ESTANCIA;724;71.0;2796.0;41082.0;10645.0
103;LDA FEDERAL;1100;75.0;1651.0;26371.0;27285.0
104;LDA FELIX;253;43.0;303.0;3470.0;2723.0
